Entity,Code,Year,"Age-standardized deaths from breast cancer in females in those aged all ages per 100,000 people"
Albania,ALB,1987,6.301749
Albania,ALB,1988,5.159397
Albania,ALB,1989,6.0304327
Albania,ALB,1992,5.6493616
Albania,ALB,1993,5.131888
Albania,ALB,1994,4.8426147
Albania,ALB,1995,6.173036
Albania,ALB,1996,6.5977163
Albania,ALB,1997,5.8000474
Albania,ALB,1998,6.6713862
Albania,ALB,1999,9.159491
Albania,ALB,2000,9.367653
Albania,ALB,2001,7.1131687
Albania,ALB,2002,7.170635
Albania,ALB,2003,9.186977
Albania,ALB,2004,8.847531
Albania,ALB,2005,8.135907
Albania,ALB,2006,9.148245
Albania,ALB,2007,7.457537
Albania,ALB,2008,9.779381
Albania,ALB,2009,8.26935
Albania,ALB,2010,6.8734403
Antigua and Barbuda,ATG,1961,29.855556
Antigua and Barbuda,ATG,1962,4.1906667
Antigua and Barbuda,ATG,1963,38.243332
Antigua and Barbuda,ATG,1964,10.904189
Antigua and Barbuda,ATG,1966,24.787333
Antigua and Barbuda,ATG,1969,15.820095
Antigua and Barbuda,ATG,1970,16.65138
Antigua and Barbuda,ATG,1971,11.692821
Antigua and Barbuda,ATG,1972,19.775623
Antigua and Barbuda,ATG,1973,4.3787374
Antigua and Barbuda,ATG,1974,23.607336
Antigua and Barbuda,ATG,1975,19.818989
Antigua and Barbuda,ATG,1976,22.892681
Antigua and Barbuda,ATG,1977,45.70581
Antigua and Barbuda,ATG,1978,17.89538
Antigua and Barbuda,ATG,1983,0
Antigua and Barbuda,ATG,1985,29.622498
Antigua and Barbuda,ATG,1986,10.158335
Antigua and Barbuda,ATG,1987,12.352632
Antigua and Barbuda,ATG,1988,0
Antigua and Barbuda,ATG,1989,47.07436
Antigua and Barbuda,ATG,1990,32.37343
Antigua and Barbuda,ATG,1991,18.515614
Antigua and Barbuda,ATG,1992,33.08103
Antigua and Barbuda,ATG,1993,7.9586763
Antigua and Barbuda,ATG,1994,34.632717
Antigua and Barbuda,ATG,1995,24.339785
Antigua and Barbuda,ATG,1998,10.433391
Antigua and Barbuda,ATG,1999,4.5024877
Antigua and Barbuda,ATG,2000,34.25519
Antigua and Barbuda,ATG,2001,14.49322
