Entity,Code,Year,"Age-standardized deaths that are from malignant neoplasms per 100,000 people, in both sexes aged all ages"
Albania,ALB,1987,88.86098
Albania,ALB,1988,99.33253
Albania,ALB,1989,92.8172
Albania,ALB,1992,74.52899
Albania,ALB,1993,66.275505
Albania,ALB,1994,59.959095
Albania,ALB,1995,79.973694
Albania,ALB,1996,89.26425
Albania,ALB,1997,83.35791
Albania,ALB,1998,87.945984
Albania,ALB,1999,91.83543
Albania,ALB,2000,96.299095
Albania,ALB,2001,75.783905
Albania,ALB,2002,85.5631
Albania,ALB,2003,93.94218
Albania,ALB,2004,89.29275
Albania,ALB,2005,81.91079
Albania,ALB,2006,80.33724
Albania,ALB,2007,68.52782
Albania,ALB,2008,75.5324
Albania,ALB,2009,70.734245
Albania,ALB,2010,53.232414
Antigua and Barbuda,ATG,1961,115.36635
Antigua and Barbuda,ATG,1962,106.60261
Antigua and Barbuda,ATG,1963,163.71687
Antigua and Barbuda,ATG,1964,180.86116
Antigua and Barbuda,ATG,1966,131.50122
Antigua and Barbuda,ATG,1969,154.70233
Antigua and Barbuda,ATG,1970,102.91071
Antigua and Barbuda,ATG,1971,140.77502
Antigua and Barbuda,ATG,1972,142.46162
Antigua and Barbuda,ATG,1973,123.539986
Antigua and Barbuda,ATG,1974,116.92481
Antigua and Barbuda,ATG,1975,149.4563
Antigua and Barbuda,ATG,1976,141.67532
Antigua and Barbuda,ATG,1977,159.40036
Antigua and Barbuda,ATG,1978,130.11209
Antigua and Barbuda,ATG,1983,83.3821
Antigua and Barbuda,ATG,1985,128.11398
Antigua and Barbuda,ATG,1986,91.49796
Antigua and Barbuda,ATG,1987,123.762215
Antigua and Barbuda,ATG,1988,65.48825
Antigua and Barbuda,ATG,1989,131.34651
Antigua and Barbuda,ATG,1990,121.93969
Antigua and Barbuda,ATG,1991,108.906494
Antigua and Barbuda,ATG,1992,113.80181
Antigua and Barbuda,ATG,1993,93.06351
Antigua and Barbuda,ATG,1994,147.91576
Antigua and Barbuda,ATG,1995,113.55078
Antigua and Barbuda,ATG,1998,108.58879
Antigua and Barbuda,ATG,1999,112.237434
Antigua and Barbuda,ATG,2000,139.70055
Antigua and Barbuda,ATG,2001,103.12247
Antigua and Barbuda,ATG,2002,109.00469
Antigua and Barbuda,ATG,2003,116.512375
Antigua and Barbuda,ATG,2004,137.18353
Antigua and Barbuda,ATG,2005,96.70364
Antigua and Barbuda,ATG,2006,84.97336
Antigua and Barbuda,ATG,2007,120.95044
Antigua and Barbuda,ATG,2008,104.362305
Antigua and Barbuda,ATG,2009,84.24959
Antigua and Barbuda,ATG,2010,93.226746
Antigua and Barbuda,ATG,2011,87.32486
Antigua and Barbuda,ATG,2012,108.83501
Antigua and Barbuda,ATG,2013,98.85661
