;;;;;;;;
Population at risk of poverty and/or social exclusion (AROPE Rate). Percentage of total population. 2015-2022
;2015;2016;2017;2018;2019;2020;2021;2022
Basque Country (1);:;20,6;:;20,7;:;19,9;:;19,5
;;;;;;;;
EU 27;24;23,7;22,4;21,7;21,1;21,6;21,7;21,6
Germany;20;19,8;18,8;18,5;17,3;20,4;21;20,9
Austria;16,9;17,2;17,1;16,8;16,5;16,7;17,3;17,5
Belgium;21,6;22,2;22;20,5;20;20,3;18,8;18,7
Bulgaria;43,3;41;38;33;33,2;33,5;31,7;32,2
Cyprus;22,8;22,6;21,4;19,1;18,6;17,6;17,3;16,7
Croatia;24,4;23,5;23,7;22,1;20,8;20,5;20,9;19,9
Denmark;18,6;17,5;17,8;17,5;17,3;16,8;17,3;17,1
Slovakia;17,3;17,1;15,8;15,2;14,8;13,8;15,6;16,5
Slovenia;17,7;16,9;16,6;15,4;13,7;14,3;13,2;13,3
Spain;28,7;28,8;27,5;27,3;26,2;27;27,8;26
Estonia;23,6;23,1;23,3;23,6;23,7;22,8;22,2;25,2
Finland;16,9;16,5;16;16,6;14,5;14,9;14,2;16,3
France;18,4;18,7;17,8;17,9;18,8;19,3;19,2;21
Greece;32,4;32,6;32,2;30,3;29;27,4;28,3;26,3
Hungary;30,6;28,6;25,9;20,6;20;19,4;19,4;18,4
Ireland;25,4;23,8;22,4;20,8;20,4;20,1;20;20,7
Italy;28,4;27,8;25,9;25,7;24,6;24,9;25,2;24,4
Latvia;30;28,2;28,5;28,4;26,7;25,1;26,1;26
Lithuania;29,4;30;29,8;28,5;25,5;24,5;23,5;24,6
Luxembourg;18,4;19,1;19,3;20,1;20,1;19,9;21,1;19,4
Malta;22,2;20,2;19,4;19,2;20,7;19,9;20,3;20,1
Netherlands;16,4;16,3;16,6;16,5;16,5;16;16,6;16,5
Poland;22,5;20,6;18,7;18,2;17,9;17;16,8;15,9
Portugal;26,4;24,9;23,4;21,6;21,1;20;22,4;20,1
Czech Republic;13;12,4;12,1;11,8;12,1;11,5;10,7;11,8
Romania;44,5;46;42,5;38,7;36,1;35,6;34,5;34,4
Sweden;18,2;17,7;17,2;17,7;18,4;17,7;17,2;18,6
;;;;;;;;
With data from the Poverty and Social Inequalities Survey and Social Needs Survey (Department of Equality, Justice and Social Policies) and Eurostat (10-19-2023)
(1)Only the 2022 data from the AROPE Poverty and Exclusion Indicator is calculated with the new definition of the rate (2021 methodology)
Source: Eustat. Main structural indicators
