Year,Scottish Marine Region,Mussel Production (Tonnage),Mussel Production Value (£)
2015,Argyll & Clyde,491,777744
2016,Argyll & Clyde,615,1033200
2017,Argyll & Clyde,631,977419
2018,Argyll & Clyde,442,625872
2019,Argyll & Clyde,363,406923
2020,Argyll & Clyde,425,451350
2021,Argyll & Clyde,497,514395
2022,Argyll & Clyde,501,541080
2023,Argyll & Clyde,433,512672
2024,Argyll & Clyde,483,506184
2015,Outer Hebrides,718,1137312
2016,Outer Hebrides,727,1221360
2017,Outer Hebrides,396,613404
2018,Outer Hebrides,555,785880
2019,Outer Hebrides,544,609824
2020,Outer Hebrides,282,299484
2021,Outer Hebrides,389,402615
2022,Outer Hebrides,720,777600
2023,Outer Hebrides,383,453472
2024,Outer Hebrides,323,338504
2015,Shetland Isles,5565,8814960
2016,Shetland Isles,5686,9552480
2017,Shetland Isles,6647,10296203
2018,Shetland Isles,5160,7306560
2019,Shetland Isles,5324,5968204
2020,Shetland Isles,4427,4701474
2021,Shetland Isles,6850,7089750
2022,Shetland Isles,7164,7737120
2023,Shetland Isles,8694,10293696
2024,Shetland Isles,10234,10725232
2015, West Highlands Moray Firth & North Coast,496,785664
2016, West Highlands Moray Firth & North Coast,704,1182720
2017, West Highlands Moray Firth & North Coast,558,864342
2018, West Highlands Moray Firth & North Coast,717,1015272
2019, West Highlands Moray Firth & North Coast,468,524628
2020, West Highlands Moray Firth & North Coast,527,559674
2021, West Highlands Moray Firth & North Coast,854,883890
2022, West Highlands Moray Firth & North Coast,707,763560
2023, West Highlands Moray Firth & North Coast,801,948384
2024, West Highlands Moray Firth & North Coast,650,681200
2015,All Scotland,7270,11515680
2016,All Scotland,7732,12989760
2017,All Scotland,8232,12751368
2018,All Scotland,6874,9733584
2019,All Scotland,6699,7509579
2020,All Scotland,5661,6011982
2021,All Scotland,8590,8890650
2022,All Scotland,9092,9819360
2023,All Scotland,10311,12208224
2024,All Scotland,11690,12251120
