Entity,Code,Year,"Age-standardized deaths from pancreas cancer in both sexes in those aged all ages per 100,000 people"
Albania,ALB,1987,2.0657334
Albania,ALB,1988,2.4746256
Albania,ALB,1989,1.9555315
Albania,ALB,1992,1.5224555
Albania,ALB,1993,1.5672592
Albania,ALB,1994,1.2549087
Albania,ALB,1995,2.7534103
Albania,ALB,1996,2.6155705
Albania,ALB,1997,2.1556263
Albania,ALB,1998,2.89496
Albania,ALB,1999,2.7343006
Albania,ALB,2000,3.193938
Albania,ALB,2001,3.0920389
Albania,ALB,2002,3.725992
Albania,ALB,2003,3.5954895
Albania,ALB,2004,4.5649443
Albania,ALB,2005,3.882034
Albania,ALB,2006,3.1973016
Albania,ALB,2007,3.5145235
Albania,ALB,2008,3.5274038
Albania,ALB,2009,4.329549
Albania,ALB,2010,2.0555131
Antigua and Barbuda,ATG,1998,6.4276395
Antigua and Barbuda,ATG,1999,0
Antigua and Barbuda,ATG,2000,5.9278755
Antigua and Barbuda,ATG,2001,10.825551
Antigua and Barbuda,ATG,2002,0
Antigua and Barbuda,ATG,2003,1.26186
Antigua and Barbuda,ATG,2004,4.3140903
Antigua and Barbuda,ATG,2005,4.0955453
Antigua and Barbuda,ATG,2006,2.358209
Antigua and Barbuda,ATG,2007,4.1898456
Antigua and Barbuda,ATG,2008,2.489255
Antigua and Barbuda,ATG,2009,4.0249434
Antigua and Barbuda,ATG,2010,0
Antigua and Barbuda,ATG,2011,0
Antigua and Barbuda,ATG,2012,0
Antigua and Barbuda,ATG,2013,4.1564393
Antigua and Barbuda,ATG,2014,4.347509
Antigua and Barbuda,ATG,2015,3.0625172
Antigua and Barbuda,ATG,2016,4.8193426
Antigua and Barbuda,ATG,2017,3.0881126
Antigua and Barbuda,ATG,2018,6.418737
Antigua and Barbuda,ATG,2019,4.4405513
Antigua and Barbuda,ATG,2020,2.6202526
Antigua and Barbuda,ATG,2021,3.1355069
Argentina,ARG,1997,7.763088
Argentina,ARG,1998,7.535424
Argentina,ARG,1999,7.707048
Argentina,ARG,2000,7.7452674
Argentina,ARG,2001,7.417242
Argentina,ARG,2002,7.3647466
Argentina,ARG,2003,7.6231556
Argentina,ARG,2004,7.545979
Argentina,ARG,2005,7.8181334
Argentina,ARG,2006,7.8571115
Argentina,ARG,2007,7.915446
Argentina,ARG,2008,7.8561673
Argentina,ARG,2009,7.828228
Argentina,ARG,2010,7.386378
Argentina,ARG,2011,7.5402555
Argentina,ARG,2012,7.646202
Argentina,ARG,2013,7.518443
Argentina,ARG,2014,7.615683
Argentina,ARG,2015,7.8136096
Argentina,ARG,2016,7.586534
Argentina,ARG,2017,7.697486
Argentina,ARG,2018,7.871929
Argentina,ARG,2019,7.691338
Argentina,ARG,2020,7.2752376
Argentina,ARG,2021,7.348279
Argentina,ARG,2022,7.160614
Armenia,ARM,2006,7.402635
Armenia,ARM,2007,7.641523
Armenia,ARM,2008,8.664463
Armenia,ARM,2009,7.9373055
Armenia,ARM,2010,7.846295
Armenia,ARM,2011,7.5195503
Armenia,ARM,2012,7.7177672
Armenia,ARM,2013,8.035777
Armenia,ARM,2014,8.310651
Armenia,ARM,2015,8.199227
Armenia,ARM,2016,8.566481
Armenia,ARM,2017,10.05864
Armenia,ARM,2018,8.818256
Armenia,ARM,2019,8.975018
Armenia,ARM,2020,8.734279
Armenia,ARM,2021,8.714717
Armenia,ARM,2022,8.166892
Armenia,ARM,2023,6.380947
Australia,AUS,1979,6.8369374
Australia,AUS,1980,7.10908
Australia,AUS,1981,6.2029147
Australia,AUS,1982,6.8084793
Australia,AUS,1983,6.431691
Australia,AUS,1984,6.742067
Australia,AUS,1985,6.5455813
Australia,AUS,1986,6.6214895
Australia,AUS,1987,6.621467
Australia,AUS,1988,6.1674404
Australia,AUS,1989,6.699437
Australia,AUS,1990,6.4388094
Australia,AUS,1991,6.242562
Australia,AUS,1992,6.4052105
Australia,AUS,1993,6.392678
Australia,AUS,1994,6.2174854
Australia,AUS,1995,6.1865582
Australia,AUS,1996,6.250845
Australia,AUS,1997,6.158067
Australia,AUS,1998,6.1322002
Australia,AUS,1999,6.222287
Australia,AUS,2000,6.185921
Australia,AUS,2001,6.204204
Australia,AUS,2002,6.2101407
Australia,AUS,2003,6.1563187
Australia,AUS,2004,6.4367957
Australia,AUS,2006,6.399245
Australia,AUS,2007,6.6883383
Australia,AUS,2008,6.5215244
Australia,AUS,2009,6.1326976
Australia,AUS,2010,6.5990067
Australia,AUS,2011,6.4303412
Australia,AUS,2012,6.511717
Australia,AUS,2013,6.382872
Australia,AUS,2014,6.1933093
Australia,AUS,2015,6.5417213
Australia,AUS,2016,6.7494855
Australia,AUS,2017,6.70353
Australia,AUS,2018,6.6805496
Australia,AUS,2019,6.83498
Australia,AUS,2020,6.637911
Australia,AUS,2021,6.863254
Australia,AUS,2022,7.108016
Australia,AUS,2023,7.0225253
Austria,AUT,1980,8.410385
Austria,AUT,1981,7.9493203
Austria,AUT,1982,8.222997
Austria,AUT,1983,8.337498
Austria,AUT,1984,8.010285
Austria,AUT,1985,8.251304
Austria,AUT,1986,8.511829
Austria,AUT,1987,8.542901
Austria,AUT,1988,8.269188
Austria,AUT,1989,8.016721
Austria,AUT,1990,8.428819
Austria,AUT,1991,8.431507
Austria,AUT,1992,8.954168
Austria,AUT,1993,8.830314
Austria,AUT,1994,9.359369
Austria,AUT,1995,8.926346
Austria,AUT,1996,8.422733
Austria,AUT,1997,8.799726
Austria,AUT,1998,8.314082
Austria,AUT,1999,8.746562
Austria,AUT,2000,8.923597
Austria,AUT,2001,8.522077
Austria,AUT,2002,8.418241
Austria,AUT,2003,8.891108
Austria,AUT,2004,8.763724
Austria,AUT,2005,8.643116
Austria,AUT,2006,8.286943
Austria,AUT,2007,8.655847
Austria,AUT,2008,8.966582
Austria,AUT,2009,8.631166
Austria,AUT,2010,8.874451
Austria,AUT,2011,9.114187
Austria,AUT,2012,8.815071
Austria,AUT,2013,8.4428005
Austria,AUT,2014,9.116263
Austria,AUT,2015,8.976485
Austria,AUT,2016,8.923933
Austria,AUT,2017,8.994458
Austria,AUT,2018,9.226387
Austria,AUT,2019,9.008035
Austria,AUT,2020,9.154836
Austria,AUT,2021,9.059644
Austria,AUT,2022,8.845244
Austria,AUT,2023,8.995613
Azerbaijan,AZE,2001,2.663903
Azerbaijan,AZE,2002,1.4616144
Azerbaijan,AZE,2003,3.7079265
Azerbaijan,AZE,2004,4.7082553
Azerbaijan,AZE,2007,1.5179888
Bahamas,BHS,1999,3.539009
Bahamas,BHS,2000,4.460886
Bahamas,BHS,2001,6.801316
Bahamas,BHS,2002,4.4488106
Bahamas,BHS,2003,1.2142969
Bahamas,BHS,2004,1.8509824
Bahamas,BHS,2005,2.773009
Bahamas,BHS,2006,3.3222027
Bahamas,BHS,2007,6.2416196
Bahamas,BHS,2008,2.6696508
Bahamas,BHS,2009,4.9795566
Bahamas,BHS,2010,3.2339733
Bahamas,BHS,2011,3.9154494
Bahamas,BHS,2012,2.6474004
Bahamas,BHS,2013,3.1252005
Bahamas,BHS,2014,1.8037585
Bahamas,BHS,2015,4.1402817
Bahamas,BHS,2016,2.6357884
Bahrain,BHR,1985,2.4283168
Bahrain,BHR,1987,3.7314718
Bahrain,BHR,1988,3.5261338
Bahrain,BHR,1997,3.3675404
Bahrain,BHR,1998,3.6670992
Bahrain,BHR,1999,4.9519987
Bahrain,BHR,2000,2.5209467
Bahrain,BHR,2001,3.0491292
Bahrain,BHR,2002,5.9833527
Bahrain,BHR,2003,7.0724134
Bahrain,BHR,2004,5.098275
Bahrain,BHR,2005,3.6817381
Bahrain,BHR,2006,2.462278
Bahrain,BHR,2007,2.263495
Bahrain,BHR,2008,2.0163827
Bahrain,BHR,2009,3.47875
Bahrain,BHR,2010,3.1240005
Bahrain,BHR,2011,2.0824559
Bahrain,BHR,2012,1.3097904
Bahrain,BHR,2013,1.2291895
Bahrain,BHR,2014,2.705064
Barbados,BRB,2000,4.540023
Barbados,BRB,2001,3.9997482
Barbados,BRB,2002,3.5284975
Barbados,BRB,2003,4.6762342
Barbados,BRB,2004,3.4503057
Barbados,BRB,2005,5.077259
Barbados,BRB,2006,5.313337
Barbados,BRB,2007,4.119407
Barbados,BRB,2008,4.043388
Barbados,BRB,2009,5.4396725
Barbados,BRB,2010,7.263543
Barbados,BRB,2011,3.7985399
Barbados,BRB,2012,6.5106544
Barbados,BRB,2013,6.6803937
Belarus,BLR,2002,5.5866284
Belarus,BLR,2003,5.020278
Belarus,BLR,2007,5.086101
Belarus,BLR,2008,5.560604
Belarus,BLR,2009,5.273875
Belarus,BLR,2010,5.448169
Belarus,BLR,2011,6.040455
Belarus,BLR,2013,5.6059504
Belarus,BLR,2014,6.1008205
Belarus,BLR,2018,6.3354864
Belgium,BEL,1979,7.324089
Belgium,BEL,1980,6.8725247
Belgium,BEL,1981,6.608344
Belgium,BEL,1982,6.9701204
Belgium,BEL,1983,6.6277113
Belgium,BEL,1984,6.48355
Belgium,BEL,1985,6.4071975
Belgium,BEL,1986,6.7964783
Belgium,BEL,1987,6.8122497
Belgium,BEL,1988,6.5472198
Belgium,BEL,1989,6.889451
Belgium,BEL,1990,6.7232113
Belgium,BEL,1991,6.258769
Belgium,BEL,1992,6.871562
Belgium,BEL,1993,6.9040136
Belgium,BEL,1994,6.642194
Belgium,BEL,1995,6.8319616
Belgium,BEL,1996,7.195476
Belgium,BEL,1997,7.0139856
Belgium,BEL,1998,7.043382
Belgium,BEL,1999,6.993034
Belgium,BEL,2000,6.6158085
Belgium,BEL,2001,6.3442893
Belgium,BEL,2002,6.9107857
Belgium,BEL,2003,6.6225576
Belgium,BEL,2004,6.5158443
Belgium,BEL,2005,7.1099052
Belgium,BEL,2006,6.764207
Belgium,BEL,2007,7.0495358
Belgium,BEL,2008,7.056445
Belgium,BEL,2009,6.4979496
Belgium,BEL,2010,7.315635
Belgium,BEL,2011,7.284414
Belgium,BEL,2012,6.988076
Belgium,BEL,2013,7.1951566
Belgium,BEL,2014,7.054153
Belgium,BEL,2015,7.1656046
Belgium,BEL,2016,7.071919
Belgium,BEL,2017,7.4209275
Belgium,BEL,2018,7.36315
Belgium,BEL,2019,7.017193
Belgium,BEL,2020,7.195579
Belgium,BEL,2021,7.2034407
Belize,BLZ,1997,5.450789
Belize,BLZ,1998,16.759398
Belize,BLZ,1999,5.1304464
Belize,BLZ,2000,10.12175
Belize,BLZ,2001,6.4580917
Belize,BLZ,2002,1.6290427
Belize,BLZ,2003,6.032749
Belize,BLZ,2004,5.7007704
Belize,BLZ,2005,4.650654
Belize,BLZ,2006,3.2682757
Belize,BLZ,2007,4.503005
Belize,BLZ,2008,2.7507136
Belize,BLZ,2009,4.905212
Belize,BLZ,2010,4.3525424
Belize,BLZ,2011,4.934739
Belize,BLZ,2012,0.9190936
Belize,BLZ,2013,3.5230587
Belize,BLZ,2014,2.6995006
Belize,BLZ,2015,1.3184249
Belize,BLZ,2016,4.3598084
Belize,BLZ,2017,2.1797993
Belize,BLZ,2018,2.588231
Belize,BLZ,2019,2.3497255
Belize,BLZ,2020,3.1654687
Belize,BLZ,2021,5.1173053
Belize,BLZ,2022,3.497836
Bosnia and Herzegovina,BIH,1985,5.20425
Bosnia and Herzegovina,BIH,1986,4.877348
Bosnia and Herzegovina,BIH,1987,4.926157
Bosnia and Herzegovina,BIH,1988,6.274591
Bosnia and Herzegovina,BIH,1989,5.676095
Bosnia and Herzegovina,BIH,1990,5.793316
Bosnia and Herzegovina,BIH,1991,4.360537
Bosnia and Herzegovina,BIH,2011,6.013826
Bosnia and Herzegovina,BIH,2014,6.5454254
Bosnia and Herzegovina,BIH,2016,7.344622
Bosnia and Herzegovina,BIH,2017,7.121112
Bosnia and Herzegovina,BIH,2018,7.377462
Bosnia and Herzegovina,BIH,2019,6.7113366
Bosnia and Herzegovina,BIH,2020,6.1296372
Bosnia and Herzegovina,BIH,2021,6.2018666
Bosnia and Herzegovina,BIH,2022,6.504451
Bosnia and Herzegovina,BIH,2023,6.2019477
Brazil,BRA,1996,3.5505707
Brazil,BRA,1997,3.566304
Brazil,BRA,1998,3.578268
Brazil,BRA,1999,3.7431674
Brazil,BRA,2000,3.7803836
Brazil,BRA,2001,3.8106806
Brazil,BRA,2002,3.8598008
Brazil,BRA,2003,3.7226527
Brazil,BRA,2004,4.0650215
Brazil,BRA,2005,4.0568137
Brazil,BRA,2006,4.0962763
Brazil,BRA,2007,4.2450223
Brazil,BRA,2008,4.2483435
Brazil,BRA,2009,4.2399926
Brazil,BRA,2010,4.362097
Brazil,BRA,2011,4.3423357
Brazil,BRA,2012,4.4429116
Brazil,BRA,2013,4.534418
Brazil,BRA,2014,4.4574265
Brazil,BRA,2015,4.567508
Brazil,BRA,2016,4.6079693
Brazil,BRA,2017,4.812091
Brazil,BRA,2018,4.7873793
Brazil,BRA,2019,4.8284883
Brazil,BRA,2020,4.76775
Brazil,BRA,2021,4.7869644
Brunei,BRN,1996,1.1221102
Brunei,BRN,1997,1.8040704
Brunei,BRN,1998,6.098332
Brunei,BRN,1999,3.3367858
Brunei,BRN,2000,3.337906
Brunei,BRN,2001,1.5730636
Brunei,BRN,2002,1.3767523
Brunei,BRN,2003,3.2856839
Brunei,BRN,2004,3.2196658
Brunei,BRN,2005,3.8779762
Brunei,BRN,2006,5.24828
Brunei,BRN,2007,3.4709995
Brunei,BRN,2008,3.2554083
Brunei,BRN,2009,1.1003854
Brunei,BRN,2010,2.602073
Brunei,BRN,2011,2.5484746
Brunei,BRN,2012,5.09401
Brunei,BRN,2013,2.8866444
Brunei,BRN,2014,3.0462813
Brunei,BRN,2015,4.1186113
Brunei,BRN,2016,4.636367
Brunei,BRN,2017,1.9503143
Brunei,BRN,2018,4.0743785
Brunei,BRN,2019,2.7806678
Bulgaria,BGR,1980,4.0903935
Bulgaria,BGR,1981,4.339147
Bulgaria,BGR,1982,4.8400855
Bulgaria,BGR,1983,4.974146
Bulgaria,BGR,1984,5.04267
Bulgaria,BGR,1985,5.2201757
Bulgaria,BGR,1986,4.7105107
Bulgaria,BGR,1987,5.2128386
Bulgaria,BGR,1988,5.0046997
Bulgaria,BGR,1989,5.43114
Bulgaria,BGR,1990,5.31018
Bulgaria,BGR,1991,5.495229
Bulgaria,BGR,1992,5.169893
Bulgaria,BGR,1993,5.6450915
Bulgaria,BGR,1994,5.5783243
Bulgaria,BGR,1995,5.5158343
Bulgaria,BGR,1996,5.6676965
Bulgaria,BGR,1997,5.628922
Bulgaria,BGR,1998,5.791939
Bulgaria,BGR,1999,5.8009667
Bulgaria,BGR,2000,5.828185
Bulgaria,BGR,2001,5.9443297
Bulgaria,BGR,2002,5.958555
Bulgaria,BGR,2003,6.384877
Bulgaria,BGR,2004,6.8339257
Bulgaria,BGR,2005,6.704741
Bulgaria,BGR,2006,6.482841
Bulgaria,BGR,2007,7.1407986
Bulgaria,BGR,2008,7.3930225
Bulgaria,BGR,2009,6.9586754
Bulgaria,BGR,2010,7.0772424
Bulgaria,BGR,2011,6.682599
Bulgaria,BGR,2012,7.3289275
Bulgaria,BGR,2013,7.4218564
Bulgaria,BGR,2014,7.686025
Bulgaria,BGR,2015,7.5700307
Bulgaria,BGR,2016,7.06986
Bulgaria,BGR,2017,7.205158
Bulgaria,BGR,2018,7.1147766
Bulgaria,BGR,2019,7.9341455
Bulgaria,BGR,2020,8.363154
Bulgaria,BGR,2021,6.9450026
Bulgaria,BGR,2022,7.32438
Canada,CAN,1979,8.382786
Canada,CAN,1980,8.017249
Canada,CAN,1981,8.002238
Canada,CAN,1982,8.562402
Canada,CAN,1983,8.207903
Canada,CAN,1984,7.928827
Canada,CAN,1985,7.9188566
Canada,CAN,1986,8.1696
Canada,CAN,1987,8.21053
Canada,CAN,1988,7.6384387
Canada,CAN,1989,7.5267215
Canada,CAN,1990,7.5487194
Canada,CAN,1991,7.3151646
Canada,CAN,1992,7.2714696
Canada,CAN,1993,7.3318143
Canada,CAN,1994,7.260631
Canada,CAN,1995,7.0237656
Canada,CAN,1996,7.287884
Canada,CAN,1997,6.7738194
Canada,CAN,1998,7.0161324
Canada,CAN,1999,6.914116
Canada,CAN,2000,6.822754
Canada,CAN,2001,6.86064
Canada,CAN,2002,6.6655717
Canada,CAN,2003,7.0308266
Canada,CAN,2004,7.1478844
Canada,CAN,2005,6.7463903
Canada,CAN,2006,6.8378453
Canada,CAN,2007,6.9346056
Canada,CAN,2008,6.79976
Canada,CAN,2009,6.904154
Canada,CAN,2010,6.4754643
Canada,CAN,2011,6.672374
Canada,CAN,2012,6.7755637
Canada,CAN,2013,7.019693
Canada,CAN,2014,6.9217205
Canada,CAN,2015,6.881035
Canada,CAN,2016,6.9241943
Canada,CAN,2017,6.846936
Canada,CAN,2018,6.868032
Canada,CAN,2019,6.7276936
Canada,CAN,2020,6.86368
Canada,CAN,2021,7.080436
Canada,CAN,2022,7.0107737
Cape Verde,CPV,2011,5.1222367
Chile,CHL,1997,4.8805275
Chile,CHL,1998,5.1452374
Chile,CHL,1999,5.4633965
Chile,CHL,2000,5.0077405
Chile,CHL,2001,4.962185
Chile,CHL,2002,5.495043
Chile,CHL,2003,5.830434
Chile,CHL,2004,5.6080546
Chile,CHL,2005,5.328679
Chile,CHL,2006,5.3708444
Chile,CHL,2007,5.265348
Chile,CHL,2008,5.5987616
Chile,CHL,2009,5.6297693
Chile,CHL,2010,5.6108527
Chile,CHL,2011,5.4109526
Chile,CHL,2012,5.684189
Chile,CHL,2013,5.8690214
Chile,CHL,2014,5.85758
Chile,CHL,2015,5.7300034
Chile,CHL,2016,6.0709023
Chile,CHL,2017,5.7926126
Chile,CHL,2018,5.720489
Chile,CHL,2019,5.4016166
Chile,CHL,2020,5.7151365
Chile,CHL,2021,5.5191984
Chile,CHL,2022,5.9006767
Colombia,COL,1997,3.6392188
Colombia,COL,1998,3.5074213
Colombia,COL,1999,3.3682837
Colombia,COL,2000,3.5847094
Colombia,COL,2001,3.3084104
Colombia,COL,2002,3.34807
Colombia,COL,2003,3.3697557
Colombia,COL,2004,3.30315
Colombia,COL,2005,3.3285654
Colombia,COL,2006,3.4002714
Colombia,COL,2007,3.4357843
Colombia,COL,2008,3.5131373
Colombia,COL,2009,3.4871233
Colombia,COL,2010,3.4092484
Colombia,COL,2011,3.4316623
Colombia,COL,2012,3.4636571
Colombia,COL,2013,3.4248707
Colombia,COL,2014,3.5552647
Colombia,COL,2015,3.7310314
Colombia,COL,2016,3.8217661
Colombia,COL,2017,3.7752395
Colombia,COL,2018,3.8606544
Colombia,COL,2019,3.6764076
Colombia,COL,2020,3.9038935
Colombia,COL,2021,3.8692708
Costa Rica,CRI,1997,5.0456758
Costa Rica,CRI,1998,4.980396
Costa Rica,CRI,1999,5.456754
Costa Rica,CRI,2000,4.472538
Costa Rica,CRI,2001,5.46637
Costa Rica,CRI,2002,4.588519
Costa Rica,CRI,2003,4.6174865
Costa Rica,CRI,2004,5.2902865
Costa Rica,CRI,2005,4.638872
Costa Rica,CRI,2006,4.3606
Costa Rica,CRI,2007,4.5025425
Costa Rica,CRI,2008,3.2188897
Costa Rica,CRI,2009,3.7775095
Costa Rica,CRI,2010,4.7095723
Costa Rica,CRI,2011,4.4476805
Costa Rica,CRI,2012,4.7554064
Costa Rica,CRI,2013,4.569812
Costa Rica,CRI,2014,4.230057
Costa Rica,CRI,2015,4.3169847
