Entity,Code,Year,"Age-standardized deaths from prostate cancer in males in those aged all ages per 100,000 people"
Albania,ALB,1987,8.740332
Albania,ALB,1988,10.3720255
Albania,ALB,1989,12.103548
Albania,ALB,1992,8.790773
Albania,ALB,1993,8.260233
Albania,ALB,1994,8.749172
Albania,ALB,1995,7.2969365
Albania,ALB,1996,10.839377
Albania,ALB,1997,9.461699
Albania,ALB,1998,10.982776
Albania,ALB,1999,14.388465
Albania,ALB,2000,16.229963
Albania,ALB,2001,8.513796
Albania,ALB,2002,10.820544
Albania,ALB,2003,12.596009
Albania,ALB,2004,10.00947
Albania,ALB,2005,10.410849
Albania,ALB,2006,9.818214
Albania,ALB,2007,8.394899
Albania,ALB,2008,8.761675
Albania,ALB,2009,9.77449
Albania,ALB,2010,7.0053716
Antigua and Barbuda,ATG,1961,0
Antigua and Barbuda,ATG,1962,0
Antigua and Barbuda,ATG,1963,0
Antigua and Barbuda,ATG,1964,0
Antigua and Barbuda,ATG,1966,25
Antigua and Barbuda,ATG,1969,0
Antigua and Barbuda,ATG,1970,0
Antigua and Barbuda,ATG,1971,0
Antigua and Barbuda,ATG,1972,11.629841
Antigua and Barbuda,ATG,1973,11.005587
Antigua and Barbuda,ATG,1974,14.292453
Antigua and Barbuda,ATG,1975,14.647784
Antigua and Barbuda,ATG,1976,15.635778
Antigua and Barbuda,ATG,1977,34.32785
Antigua and Barbuda,ATG,1978,13.933333
Antigua and Barbuda,ATG,1983,53.216747
Antigua and Barbuda,ATG,1985,12.796892
Antigua and Barbuda,ATG,1986,20.844042
Antigua and Barbuda,ATG,1987,28.414991
Antigua and Barbuda,ATG,1988,15.537172
Antigua and Barbuda,ATG,1989,45.356895
Antigua and Barbuda,ATG,1990,27.480072
Antigua and Barbuda,ATG,1991,53.466362
Antigua and Barbuda,ATG,1992,53.837322
Antigua and Barbuda,ATG,1993,39.741978
Antigua and Barbuda,ATG,1994,63.48619
Antigua and Barbuda,ATG,1995,51.239407
Antigua and Barbuda,ATG,1998,39.89867
Antigua and Barbuda,ATG,1999,82.141754
Antigua and Barbuda,ATG,2000,68.38341
Antigua and Barbuda,ATG,2001,62.43842
Antigua and Barbuda,ATG,2002,59.66083
Antigua and Barbuda,ATG,2003,54.37835
Antigua and Barbuda,ATG,2004,86.69355
Antigua and Barbuda,ATG,2005,41.16129
Antigua and Barbuda,ATG,2006,40.59216
Antigua and Barbuda,ATG,2007,59.436283
Antigua and Barbuda,ATG,2008,52.21746
Antigua and Barbuda,ATG,2009,42.61536
Antigua and Barbuda,ATG,2010,57.286606
Antigua and Barbuda,ATG,2011,49.234207
Antigua and Barbuda,ATG,2012,72.90066
Antigua and Barbuda,ATG,2013,59.398155
Antigua and Barbuda,ATG,2014,82.579094
Antigua and Barbuda,ATG,2015,39.361763
Antigua and Barbuda,ATG,2016,35.809742
Antigua and Barbuda,ATG,2017,47.045403
Antigua and Barbuda,ATG,2018,42.51411
Antigua and Barbuda,ATG,2019,31.78254
Antigua and Barbuda,ATG,2020,51.810688
Antigua and Barbuda,ATG,2021,45.155857
Argentina,ARG,1966,13.187915
Argentina,ARG,1967,16.575098
Argentina,ARG,1968,18.362156
Argentina,ARG,1969,17.98763
Argentina,ARG,1970,17.44091
Argentina,ARG,1977,14.5735855
Argentina,ARG,1978,15.895486
Argentina,ARG,1979,16.225395
Argentina,ARG,1980,14.609154
Argentina,ARG,1981,15.084621
Argentina,ARG,1982,13.372926
Argentina,ARG,1983,14.133746
Argentina,ARG,1984,15.10868
Argentina,ARG,1985,14.78591
Argentina,ARG,1986,16.009174
Argentina,ARG,1987,17.482168
Argentina,ARG,1988,16.80864
Argentina,ARG,1989,16.858059
Argentina,ARG,1990,17.003967
Argentina,ARG,1991,17.936987
Argentina,ARG,1992,18.059025
Argentina,ARG,1993,18.627405
Argentina,ARG,1994,18.906078
Argentina,ARG,1995,20.677237
Argentina,ARG,1996,21.623985
Argentina,ARG,1997,20.388493
Argentina,ARG,1998,21.795338
Argentina,ARG,1999,21.138046
Argentina,ARG,2000,21.240067
Argentina,ARG,2001,20.646753
Argentina,ARG,2002,20.01587
Argentina,ARG,2003,20.330566
Argentina,ARG,2004,20.16297
Argentina,ARG,2005,20.542873
Argentina,ARG,2006,20.414246
Argentina,ARG,2007,20.283606
Argentina,ARG,2008,19.232023
Argentina,ARG,2009,18.222101
Argentina,ARG,2010,19.110378
Argentina,ARG,2011,17.791552
Argentina,ARG,2012,17.340963
Argentina,ARG,2013,16.966208
Argentina,ARG,2014,16.427397
Argentina,ARG,2015,16.816406
Argentina,ARG,2016,16.377226
Argentina,ARG,2017,15.658865
Argentina,ARG,2018,15.289281
Argentina,ARG,2019,14.895385
Argentina,ARG,2020,13.956268
Argentina,ARG,2021,13.782632
Argentina,ARG,2022,12.931586
Armenia,ARM,1981,3.467525
Armenia,ARM,1982,4.011375
Armenia,ARM,1985,3.428666
Armenia,ARM,1986,3.007117
Armenia,ARM,1987,4.078708
Armenia,ARM,1988,2.7133284
Armenia,ARM,1989,3.2616606
Armenia,ARM,1990,3.4194963
Armenia,ARM,1991,2.3644292
Armenia,ARM,1992,4.23062
Armenia,ARM,1993,3.9787302
Armenia,ARM,1994,5.336198
Armenia,ARM,1995,4.2556043
Armenia,ARM,1996,4.6047783
Armenia,ARM,1997,4.9092655
Armenia,ARM,1998,5.4063077
Armenia,ARM,1999,5.0974693
Armenia,ARM,2000,5.648194
Armenia,ARM,2001,5.163714
Armenia,ARM,2002,8.322723
Armenia,ARM,2003,8.465153
Armenia,ARM,2006,11.397008
Armenia,ARM,2007,10.870127
Armenia,ARM,2008,10.68918
Armenia,ARM,2009,10.931682
Armenia,ARM,2010,12.567595
Armenia,ARM,2011,14.51272
Armenia,ARM,2012,15.519208
Armenia,ARM,2013,13.160653
Armenia,ARM,2014,16.677742
Armenia,ARM,2015,18.210411
Armenia,ARM,2016,15.170091
Armenia,ARM,2017,12.831162
Armenia,ARM,2018,11.59707
Armenia,ARM,2019,10.103729
Armenia,ARM,2020,13.980872
Armenia,ARM,2021,11.667385
Armenia,ARM,2022,11.034049
Armenia,ARM,2023,8.531923
Australia,AUS,1950,17.314098
Australia,AUS,1951,18.116055
Australia,AUS,1952,16.810303
Australia,AUS,1953,18.917143
Australia,AUS,1954,19.372322
Australia,AUS,1955,19.819124
Australia,AUS,1956,19.703886
Australia,AUS,1957,19.654999
Australia,AUS,1958,19.249372
Australia,AUS,1959,19.190804
Australia,AUS,1960,19.454798
Australia,AUS,1961,18.582834
Australia,AUS,1962,17.527023
Australia,AUS,1963,17.990944
Australia,AUS,1964,19.779924
Australia,AUS,1965,19.61321
Australia,AUS,1966,18.232338
Australia,AUS,1967,18.354969
Australia,AUS,1968,20.358944
Australia,AUS,1969,19.991018
Australia,AUS,1970,20.899485
Australia,AUS,1971,19.514454
Australia,AUS,1972,19.593952
Australia,AUS,1973,21.03914
Australia,AUS,1974,20.552689
Australia,AUS,1975,19.983265
Australia,AUS,1976,19.55227
Australia,AUS,1977,19.947453
Australia,AUS,1978,19.291094
Australia,AUS,1979,19.27457
Australia,AUS,1980,19.662329
Australia,AUS,1981,19.48976
Australia,AUS,1982,20.158
Australia,AUS,1983,20.2028
Australia,AUS,1984,19.810057
Australia,AUS,1985,20.957315
Australia,AUS,1986,20.839989
Australia,AUS,1987,21.666162
Australia,AUS,1988,22.012115
Australia,AUS,1989,23.152725
Australia,AUS,1990,23.047953
Australia,AUS,1991,22.917425
Australia,AUS,1992,24.071733
Australia,AUS,1993,25.29443
Australia,AUS,1994,25.283974
Australia,AUS,1995,23.748514
Australia,AUS,1996,23.809423
Australia,AUS,1997,21.282408
Australia,AUS,1998,21.532005
Australia,AUS,1999,20.231693
Australia,AUS,2000,20.663107
Australia,AUS,2001,20.20413
Australia,AUS,2002,20.241926
Australia,AUS,2003,19.612326
Australia,AUS,2004,18.938055
Australia,AUS,2006,19.231928
Australia,AUS,2007,17.625715
Australia,AUS,2008,17.576216
Australia,AUS,2009,17.397463
Australia,AUS,2010,17.32877
Australia,AUS,2011,17.25921
Australia,AUS,2012,15.545722
Australia,AUS,2013,15.103386
Australia,AUS,2014,14.526784
Australia,AUS,2015,14.497446
Australia,AUS,2016,14.330801
Australia,AUS,2017,13.837104
Australia,AUS,2018,13.415381
Australia,AUS,2019,14.298148
Australia,AUS,2020,13.675732
Australia,AUS,2021,13.062888
Australia,AUS,2022,13.40641
Australia,AUS,2023,12.647718
Austria,AUT,1955,15.164176
Austria,AUT,1956,15.551656
Austria,AUT,1957,17.471416
Austria,AUT,1958,15.510323
Austria,AUT,1959,16.676174
Austria,AUT,1960,17.289986
Austria,AUT,1961,16.824442
Austria,AUT,1962,17.049261
Austria,AUT,1963,17.27772
Austria,AUT,1964,17.144642
Austria,AUT,1965,18.120188
Austria,AUT,1966,17.403873
Austria,AUT,1967,17.279745
Austria,AUT,1968,19.792072
Austria,AUT,1969,17.549484
Austria,AUT,1970,17.604383
Austria,AUT,1971,17.550745
Austria,AUT,1972,17.440268
Austria,AUT,1973,19.34355
Austria,AUT,1974,19.270878
Austria,AUT,1975,18.758488
Austria,AUT,1976,19.41334
Austria,AUT,1977,18.41869
Austria,AUT,1978,20.682655
Austria,AUT,1979,18.638609
Austria,AUT,1980,20.187939
Austria,AUT,1981,19.418694
Austria,AUT,1982,20.68523
Austria,AUT,1983,19.504908
Austria,AUT,1984,19.568325
Austria,AUT,1985,20.711786
Austria,AUT,1986,20.740053
Austria,AUT,1987,22.495995
Austria,AUT,1988,21.06892
Austria,AUT,1989,22.134304
Austria,AUT,1990,22.62187
Austria,AUT,1991,24.527931
Austria,AUT,1992,23.039835
Austria,AUT,1993,23.701656
Austria,AUT,1994,21.5375
Austria,AUT,1995,23.28188
Austria,AUT,1996,22.503819
Austria,AUT,1997,22.491014
Austria,AUT,1998,21.363173
Austria,AUT,1999,22.691568
Austria,AUT,2000,22.038755
Austria,AUT,2001,20.73097
Austria,AUT,2002,19.460264
Austria,AUT,2003,19.790174
Austria,AUT,2004,18.84756
Austria,AUT,2005,17.47483
Austria,AUT,2006,16.4798
Austria,AUT,2007,15.584948
Austria,AUT,2008,16.570501
Austria,AUT,2009,15.17828
Austria,AUT,2010,14.808015
Austria,AUT,2011,14.542195
Austria,AUT,2012,13.7043085
Austria,AUT,2013,13.533885
Austria,AUT,2014,12.875496
Austria,AUT,2015,12.591877
Austria,AUT,2016,13.265104
Austria,AUT,2017,13.220297
Austria,AUT,2018,12.395143
Austria,AUT,2019,13.40164
Austria,AUT,2020,13.4592705
Austria,AUT,2021,12.75416
Austria,AUT,2022,12.7271
Austria,AUT,2023,12.311629
Azerbaijan,AZE,1981,4.926148
Azerbaijan,AZE,1982,4.861844
Azerbaijan,AZE,1985,5.727887
Azerbaijan,AZE,1986,5.2605076
Azerbaijan,AZE,1987,5.5817056
Azerbaijan,AZE,1988,5.997503
Azerbaijan,AZE,1989,5.9921613
Azerbaijan,AZE,1990,7.7494636
Azerbaijan,AZE,1991,6.5113993
Azerbaijan,AZE,1992,3.978216
Azerbaijan,AZE,1993,4.2883554
Azerbaijan,AZE,1994,7.3976736
Azerbaijan,AZE,1995,6.7438865
Azerbaijan,AZE,1996,4.391329
Azerbaijan,AZE,1997,4.9520807
Azerbaijan,AZE,1998,4.2988176
Azerbaijan,AZE,1999,4.628758
Azerbaijan,AZE,2000,3.7503774
Azerbaijan,AZE,2001,7.9727135
Azerbaijan,AZE,2002,8.451672
Azerbaijan,AZE,2003,13.395026
Azerbaijan,AZE,2004,6.4222755
Azerbaijan,AZE,2007,3.6470323
Bahamas,BHS,1972,18.110209
Bahamas,BHS,1975,6.29946
Bahamas,BHS,1979,22.789667
Bahamas,BHS,1980,18.972425
Bahamas,BHS,1981,40.78959
Bahamas,BHS,1984,23.952604
Bahamas,BHS,1985,35.12579
Bahamas,BHS,1987,37.73596
Bahamas,BHS,1993,43.6555
Bahamas,BHS,1994,38.29932
Bahamas,BHS,1995,37.176743
Bahamas,BHS,1996,55.37688
Bahamas,BHS,1997,54.913254
Bahamas,BHS,1998,53.814976
Bahamas,BHS,1999,47.167812
Bahamas,BHS,2000,44.015575
Bahamas,BHS,2001,52.02928
Bahamas,BHS,2002,44.14464
Bahamas,BHS,2003,57.2579
Bahamas,BHS,2004,42.171795
Bahamas,BHS,2005,38.63137
Bahamas,BHS,2006,40.88933
Bahamas,BHS,2007,42.180954
Bahamas,BHS,2008,57.634327
Bahamas,BHS,2009,45.26989
Bahamas,BHS,2010,44.34362
Bahamas,BHS,2011,46.001984
Bahamas,BHS,2012,53.056095
Bahamas,BHS,2013,36.19448
Bahamas,BHS,2014,37.0004
Bahamas,BHS,2015,47.123714
